ID,IMAGE,BRAND,STYLE,DESCRIPTION,COLOR,XS,S,M,L,XL,XXL,Price,CATEGORY,STATUS
8,MS141062_CLOUD.jpg,LIEBESKIND,MS141062,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,CLOUD,,1,,,,,188,"Ladies,Jacket,Outerwear,Knitwear",
9,MS141062_POWDEREDROSESORBET.jpg,LIEBESKIND,MS141062,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,POWDEREDROSESORBET,,1,,,,,189,"Ladies,Jacket,Outerwear,Knitwear",
10,MS141062_PINE.jpg,LIEBESKIND,MS141062,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,PINE,,3,,,,,190,"Ladies,Jacket,Outerwear,Knitwear",
11,AS1510002.jpg,LIEBESKIND,AS1510002,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,GREYMELANGE+YELLOWDIP,,1,,,,,191,"Ladies,Jacket,Outerwear,Knitwear",
12,AS1510001.jpg,LIEBESKIND,AS1510001,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,GREYMELANGE+DKBLUEDIP,,1,,,,,192,"Ladies,Jacket,Outerwear,Knitwear",
13,13AS151000_GREYMELANGE+OLDROSE,LIEBESKIND,AS151000,LADIES100COTTONSINGEDJERSEYDIPEDDYEDTOP,GREYMELANGE+OLDROSE,,1,,,,,193,"Ladies,Top,Outerwear,Knitwear",
14,MS141064.jpg,LIEBESKIND,MS141064,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,LIGHTGREY,,2,,,,,194,"Ladies, Jacket, Outerwear, Knitwear",
15,15MS14-1072_SORBET,LIEBESKIND,MS14-1072,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,SORBET,,2,,,,,195,"Ladies, Jacket, Outerwear, Knitwear",
16,MS14-1071_PINE.png,LIEBESKIND,MS14-1071,LADIES100COTTONSINGEDJERSEYDIPDYEDVEST,PINE,,1,,,,,196,"Ladies, Vest, Outerwear, Knitwear",
17,17MS14-1071_LIGHTGREY,LIEBESKIND,MS14-1071,LADIES100COTTONSINGEDJERSEYDIPDYEDVEST,LIGHTGREY,,2,,,,,197,"Ladies, Vest, Outerwear, Knitwear",
18,18MS14-1071_POWDEREDROSE,LIEBESKIND,MS14-1071,LADIES100COTTONSINGEDJERSEYDIPDYEDVEST,POWDEREDROSE,,1,,,,,198,"Ladies, Vest, Outerwear, Knitwear",
19,19MS14-1063_LIGHTGREY,LIEBESKIND,MS14-1063,LADIES100COTTONSINGEDJERSEYDIPDYEDVEST,LIGHTGREY,,1,,,,,199,"Ladies, Vest, Outerwear, Knitwear",
19_5,19_5MS14-1063_POWEREDROSESORBET,LIEBESKIND,MS14-1063,LADIES100COTTONSINGEDJERSEYDIPDYEDVEST,POWEREDROSESORBET,,1,,,,,200,"Ladies, Vest, Outerwear, Knitwear",
20,20MS14-1063_PINE,LIEBESKIND,MS14-1063,LADIES100COTTONSINGEDJERSEYDIPDYEDVEST,PINE,,2,,,,,,"Ladies, Vest, Outerwear, Knitwear",
21,21MS14-1069_LIGHTGREY,LIEBESKIND,MS14-1069,LADIES100COTTONSINGEDJERSEYDIPDYEDPANTS,LIGHTGREY,,2,,,,,,"Ladies, Pants, Bottoms, Knitwear",
22,22MS14-1069_POWDEREDROSESORBET,LIEBESKIND,MS14-1069,LADIES100COTTONSINGEDJERSEYDPANTS,POWDEREDROSESORBET,,2,,,,,,"Ladies, Pants, Bottoms, Knitwear",
23,23MS14-1069_PINE,LIEBESKIND,MS14-1069,LADIES100COTTONSINGEDJERSEYDIPDYEDPANTS,PINE,,2,,,,,,"Ladies, Pants, Bottoms, Knitwear",
24,24MS14-1068_LIGHTGREY,LIEBESKIND,MS14-1068,LADIES100COTTONSINGEDJERSEYDIPDYEDPANTS,LIGHTGREY,,1,,,,,,"Ladies, Pants, Bottoms, Knitwear",
25,25MS14-1068_PINE,LIEBESKIND,MS14-1068,LADIES100COTTONSINGEDJERSEYDIPDYEDPANTS,PINE,,1,,,,,,"Ladies, Pants, Bottoms, Knitwear",
26,26AS151101_BLACK,LIEBESKIND,AS151101,LADIES100COTTONSINGEDJERSEYDIPDYEDJACKET,BLACK,,1,,,,,,"Ladies, Jacket, Outerwear, Knitwear",
27,27AS151101_BLACK,LIEBESKIND,AS151101,LADIESTANKTOP,BLACK,,1,,,,,,"Ladies, Top, Knitwear",
